sample_type,alias_name,test_type,loinc_code,component,loinc_name
혈액,LFT,ALLERGY,15705-7,anthemis cotula ab.ige.rast class,deprecated dog fennel ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15706-5,foeniculum vulgare fresh ab.ige.rast class,deprecated fennel fresh ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15707-3,foeniculum vulgare seed ab.ige.rast class,deprecated fennel seed ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15708-1,ferret epithelium ab.ige.rast class,deprecated ferret epithelium ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15709-9,festuca elatior ab.ige.rast class,deprecated meadow fescue ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15710-7,finch feather ab.ige.rast class,deprecated finch feather ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15711-5,pseudotsuga taxifolia ab.ige.rast class,deprecated douglas fir ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15712-3,kochia scoparia ab.ige.rast class,deprecated firebush ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15713-1,fiscus sp ab.ige.rast class,deprecated fiscus sp ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15714-9,ctenocephalides sp ab.ige.rast class,deprecated flea ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15715-6,flounder ab.ige.rast class,deprecated flounder ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15716-4,simulium venustum ab.ige.rast class,deprecated black fly ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15717-2,tabanus spp ab.ige.rast class,deprecated horse fly ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15718-0,formaldehyde ab.ige.rast class,deprecated formaldehyde ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15719-8,fox ab.ige.rast class,deprecated fox ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15720-6,alopercurus pratensis ab.ige.rast class,deprecated meadow foxtail ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15721-4,fusarium culmorum ab.ige.rast class,deprecated fusarium culmorum ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15722-2,fusarium moniliforme ab.ige.rast class,deprecated fusarium moniliforme ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15723-0,fusarium solani ab.ige.rast class,deprecated fusarium solani ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15724-8,allium sativum ab.ige.rast class,deprecated garlic ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15725-5,gelatin ab.ige.rast class,deprecated gelatin ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15726-3,geotrichum candidum ab.ige.rast class,deprecated geotrichum candidum ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15727-1,gerbil ab.ige.rast class,deprecated gerbil ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15728-9,zingiber officinale ab.ige.rast class,deprecated ginger ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15729-7,gluten ab.ige.rast class,deprecated gluten ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15730-5,glycyphagus domesticus ab.ige.rast class,deprecated glycyphagus domesticus ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15731-3,goat epithelium ab.ige.rast class,deprecated goat epithelium ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15732-1,goat milk ab.ige.rast class,deprecated goat milk ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15733-9,solidago virgaurea ab.ige.rast class,deprecated goldenrod ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15734-7,goose feather ab.ige.rast class,deprecated goose feather ige ab rast class [presence] in serum
혈액,LFT,CHAL,1573-5,insulin^post 12h cfst,insulin [mass/volume] in serum or plasma --12 hours fasting
혈액,LFT,ALLERGY,15735-4,vitis vinifera ab.ige.rast class,deprecated grape ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15736-2,citrus paradisis ab.ige.rast class,deprecated grapefruit ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15737-0,paspalum notatum ab.ige.rast class,deprecated bahia grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15738-8,cynodon dactylon ab.ige.rast class,deprecated bermuda grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15739-6,poa compressa ab.ige.rast class,deprecated canadian blue grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15740-4,bromus inermis ab.ige.rast class,deprecated brome ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15741-2,arrhenatherum elatius ab.ige.rast class,deprecated false oat grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15742-0,bouteloua gracilis ab.ige.rast class,deprecated gramma grass (bouteloua gracilis) ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15743-8,sorghum halepense ab.ige.rast class,deprecated johnson grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15744-6,poa pratensis ab.ige.rast class,deprecated kentucky blue grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15745-3,grass koehlers ab.ige.rast class,deprecated koehlers grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15746-1,dactylis glomerata ab.ige.rast class,deprecated cocksfoot ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15747-9,agropyron repens ab.ige.rast class,deprecated quack grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15748-7,agrostis stolonifera ab.ige.rast class,deprecated red top grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15749-5,lolium perenne ab.ige.rast class,deprecated perennial rye grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15750-3,lolium perenne ab.ige.rast class,deprecated grass rye italian ige ab rast class in serum
혈액,LFT,ALLERGY,15751-1,elymus triticoides ab.ige.rast class,deprecated wild rye grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15753-7,grass sorghum ab.ige.rast class,deprecated sorghum grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15754-5,sorghum sudanense ab.ige.rast class,deprecated sudan grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15755-2,anthoxanthum odoratum ab.ige.rast class,deprecated sweet vernal grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15756-0,holcus lanatus ab.ige.rast class,deprecated velvet grass ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15757-8,cyamopsis tetragonoloba ab.ige.rast class,deprecated guar gum ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15758-6,psidium guajava ab.ige.rast class,deprecated guava ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15759-4,guinea pig epithelium ab.ige.rast class,deprecated guinea pig epithelium ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15760-2,gum arabic ab.ige.rast class,deprecated gum arabic ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15761-0,liquidambar styraciflua ab.ige.rast class,deprecated sweet gum ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15762-8,celtis occidentalis ab.ige.rast class,deprecated hackberry tree ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15763-6,melanogrammus aeglefinus ab.ige.rast class,deprecated haddock ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15764-4,hippoglossus hippoglossus ab.ige.rast class,deprecated halibut ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15765-1,hamster epithelium ab.ige.rast class,deprecated hamster epithelium ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15766-9,corylus avellana ab.ige.rast class,deprecated hazelnut ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15767-7,corylus avellana pollen ab.ige.rast class,deprecated hazelnut pollen ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15768-5,helminthosporium sp ab.ige.rast class,deprecated helminthosporium sp ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15769-3,setomelanomma rostrata ab.ige.rast class,deprecated setomelanomma rostrata ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15770-1,tsuga canadensis ab.ige.rast class,deprecated eastern hemlock ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15771-9,amaranthus tuberculatus ab.ige.rast class,deprecated water hemp ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15772-7,clupea harengus ab.ige.rast class,deprecated herring ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15773-5,carya illinoinensis nut ab.ige.rast class,deprecated pecan or hickory nut ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15774-3,carya illinoinensis tree ab.ige.rast class,deprecated pecan or hickory tree ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15775-0,carya laciniosa ab.ige.rast class,deprecated shellbark hickory ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15776-8,carya tomentosa ab.ige.rast class,deprecated white hickory ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15777-6,honey ab.ige.rast class,deprecated honey ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15778-4,honeysuckle ab.ige.rast class,deprecated honeysuckle ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15779-2,humulus lupus ab.ige.rast class,deprecated hop ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15780-0,carpinus betulus ab.ige.rast class,deprecated horn beam ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15781-8,hornet ab.ige.rast class,deprecated hornet ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15782-6,dolichovespula maculata ab.ige.rast class,deprecated whitefaced hornet ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15783-4,dolichovespula arenaria ab.ige.rast class,deprecated yellow hornet ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15784-2,horse dander ab.ige.rast class,deprecated horse dander ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15785-9,horse epithelium ab.ige.rast class,deprecated horse epithelium ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15786-7,horse serum proteins ab.ige.rast class,deprecated horse serum proteins ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15787-5,armoracia rusticana ab.ige.rast class,deprecated horseradish ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15788-3,house dust ab.ige.rast class,deprecated house dust ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15789-1,house dust greer ab.ige.rast class,deprecated house dust greer ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15790-9,house dust hausstaub ab.ige.rast class,deprecated house dust hausstaub ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15791-7,house dust hollister stier ab.ige.rast class,deprecated house dust hollister stier ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15792-5,insulin bovine ab.ige.rast class,deprecated insulin bovine ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15793-3,insulin human ab.ige.rast class,deprecated insulin human ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15794-1,insulin porcine ab.ige.rast class,deprecated insulin porcine ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15795-8,allenrolfea occidentalis ab.ige.rast class,deprecated iodinebush ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15796-6,hexamethylene diisocyanate (hdi) ab.ige.rast class,deprecated isocyanate hdi ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15797-4,diphenylmethane diisocyanate (mdi) ab.ige.rast class,deprecated isocyanate mdi ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15798-2,toluene diisocyanate (tdi) ab.ige.rast class,deprecated isocyanate tdi ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15799-0,ispaghula laxative ab.ige.rast class,deprecated ispaghula laxative ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15800-6,juniper ab.ige.rast class,deprecated juniper ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15801-4,kapok ab.ige.rast class,deprecated kapok ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15802-2,actinidia chinensis ab.ige.rast class,deprecated kiwifruit ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15803-0,lamb ab.ige.rast class,deprecated lamb ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15804-8,mutton ab.ige.rast class,deprecated mutton ige ab rast class in serum
혈액,LFT,ALLERGY,15805-5,chenopodium album ab.ige.rast class,deprecated goosefoot ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15806-3,latex ab.ige.rast class,deprecated latex ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15807-1,latex glove extract ab.ige.rast class,deprecated latex glove extract ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15808-9,latex glove extract ammoniated ab.ige.rast class,deprecated latex glove extract ammoniated ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15809-7,latex glove extract buffered ab.ige.rast class,deprecated latex glove extract buffered ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15810-5,legume ab.ige.rast class,deprecated legume ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15811-3,citrus limon ab.ige.rast class,deprecated lemon ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15812-1,atriplex lentiformis ab.ige.rast class,deprecated lenscale ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15813-9,lens esculenta ab.ige.rast class,deprecated lentils ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15814-7,lepidoglyphus destructor ab.ige.rast class,deprecated lepidoglyphus destructor ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15815-4,lactuca sativa ab.ige.rast class,deprecated lettuce ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15816-2,syringa vulgaris ab.ige.rast class,deprecated lilac ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15817-0,lilium longiflorum ab.ige.rast class,deprecated easter lily ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15818-8,citrus aurantifolia ab.ige.rast class,deprecated lime ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15819-6,tilia cordata ab.ige.rast class,deprecated linden ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15821-2,homarus gammarus ab.ige.rast class,deprecated lobster ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15822-0,palinurus spp ab.ige.rast class,deprecated spiny lobster ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15823-8,robinia pseudoacacia ab.ige.rast class,deprecated black locust ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15824-6,lupinus spp ab.ige.rast class,deprecated lupin ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15825-3,lycopodium spp ab.ige.rast class,deprecated lycopodium spp ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15826-1,lysozyme ab.ige.rast class,deprecated lysozyme ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15827-9,scomber scombrus ab.ige.rast class,deprecated mackerel ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15828-7,scomber japonicus ab.ige.rast class,deprecated chub mackerel ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15829-5,trachurus japonicus ab.ige.rast class,deprecated scad ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15830-3,zea mays ab.ige.rast class,deprecated corn ige ab rast class in serum
혈액,LFT,ALLERGY,15832-9,mangifera indica ab.ige.rast class,deprecated mango ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15833-7,acer macrophyllum ab.ige.rast class,deprecated coastal maple ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15834-5,acer rubrum ab.ige.rast class,deprecated red maple ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15835-2,maple silver ab.ige.rast class,deprecated silver maple ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15836-0,maple sugar ab.ige.rast class,deprecated maple sugar ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15837-8,mare milk ab.ige.rast class,deprecated mare milk ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15838-6,origanum majorana ab.ige.rast class,deprecated marjoram ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15839-4,maxatase ab.ige.rast class,deprecated maxatase ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15840-2,lepidorhombus whiffiagonis ab.ige.rast class,deprecated whiff ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15841-0,melaleuca leucadendron ab.ige.rast class,deprecated cajeput tree ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15842-8,cucumis melo spp ab.ige.rast class,deprecated melon ige ab rast class in serum
혈액,LFT,ALLERGY,15843-6,prosopis juliflora ab.ige.rast class,deprecated mesquite ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15844-4,chenopodium ambrosioides ab.ige.rast class,deprecated mexican tea ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15845-1,cladotanytarsus lewisi ab.ige.rast class,deprecated green nimitti ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15846-9,milk ab.ige.rast class,deprecated milk ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15847-7,cow milk boiled ab.ige.rast class,deprecated cow milk boiled ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15848-5,milk powder ab.ige.rast class,deprecated milk powder ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15849-3,panicum milliaceum ab.ige.rast class,deprecated common millet ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15850-1,setaria italica ab.ige.rast class,deprecated foxtail millet ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15851-9,echinochloa crus-galli ab.ige.rast class,deprecated cockspur ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15852-7,mink epithelium ab.ige.rast class,deprecated mink epithelium ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15853-5,mentha piperita ab.ige.rast class,deprecated mint ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15854-3,cheese mold type ab.ige.rast class,deprecated cheese mold type ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15855-0,chrysonilia sitophila ab.ige.rast class,deprecated chrysonilia sitophila ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15856-8,aedes communis ab.ige.rast class,deprecated aedes mosquito ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15857-6,moth ab.ige.rast class,deprecated moth ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15858-4,ephestia kuehniella ab.ige.rast class,deprecated mediterranean flour moth ige ab rast class [presence] in serum
혈액,LFT,CHAL,1585-9,lactose^pre 12h cfst,lactose [mass/volume] in serum or plasma --pre 12 hour fast
혈액,LFT,ALLERGY,15859-2,mouse epithelium ab.ige.rast class,deprecated mouse epithelium ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15860-0,mouse serum proteins ab.ige.rast class,deprecated mouse serum proteins ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15861-8,mouse urine proteins ab.ige.rast class,deprecated mouse urine proteins ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15862-6,mucor racemosus ab.ige.rast class,deprecated mucor racemosus ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15863-4,artemisia vulgaris ab.ige.rast class,deprecated mugwort ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15864-2,morus alba ab.ige.rast class,deprecated white mulberry ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15865-9,morus alba ab.ige.rast class,deprecated white mulberry ige ab rast class in serum
혈액,LFT,ALLERGY,15866-7,agaricus hortensis ab.ige.rast class,deprecated mushroom ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15867-5,cucumis melo spp ab.ige.rast class,deprecated melon ige ab ab rast class in serum
혈액,LFT,ALLERGY,15868-3,mussel ab.ige.rast class,deprecated blue mussel ige ab rast class in serum
혈액,LFT,ALLERGY,15869-1,mytilus edulis ab.ige.rast class,deprecated blue mussel ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15870-9,mustard ab.ige.rast class,deprecated mustard ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15871-7,prunus persica var nucipersica ab.ige.rast class,deprecated nectarine ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15872-5,urtica dioica ab.ige.rast class,deprecated nettle ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15873-3,nigrospora sphaerica ab.ige.rast class,deprecated nigrospora sphaerica ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15874-1,nutmeg ab.ige.rast class,deprecated nutmeg ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15875-8,quercus alba ab.ige.rast class,deprecated white oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15876-6,quercus kelloggii ab.ige.rast class,deprecated california black oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15877-4,quercus parvula ab.ige.rast class,deprecated coastal oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15878-2,quercus gambelii ab.ige.rast class,deprecated gamble oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15879-0,chenopodium botrys ab.ige.rast class,deprecated jerusalem oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15880-8,quercus virginiana ab.ige.rast class,deprecated virginia live oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15881-6,quercus rubra ab.ige.rast class,deprecated red oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15882-4,quercus lobata ab.ige.rast class,deprecated valley oak ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15883-2,quercus virginiana ab.ige.rast class,deprecated virginia live oak ige ab rast class in serum
혈액,LFT,ALLERGY,15884-0,quercus alba ab.ige.rast class,deprecated white oak ige ab rast class in serum
혈액,LFT,ALLERGY,15885-7,avena sativa ab.ige.rast class,deprecated oat ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15886-5,avena sativa cultivated ab.ige.rast class,deprecated oat pollen ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15887-3,avena sativa cultivated ab.ige.rast class,deprecated oat pollen ige ab rast class in serum
혈액,LFT,ALLERGY,15888-1,octopus vulgaris ab.ige.rast class,deprecated octopus ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15889-9,oidiodendrum spp ab.ige.rast class,deprecated oidiodendrum spp ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15890-7,abelmoschus esculentus ab.ige.rast class,deprecated okra ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15891-5,olive ab.ige.rast class,deprecated olive ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15892-3,olea europaea pollen ab.ige.rast class,deprecated olive pollen ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15893-1,allium cepa ab.ige.rast class,deprecated onion ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15894-9,citrus sinensis ab.ige.rast class,deprecated orange ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15895-6,origanum vulgare ab.ige.rast class,deprecated oregano ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15896-4,iris germanica var florentina ab.ige.rast class,deprecated orris root ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15897-2,ovalbumin ab.ige.rast class,deprecated ovalbumin ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15898-0,ovomucoid ab.ige.rast class,deprecated ovomucoid ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15899-8,ostrea edulis ab.ige.rast class,deprecated oyster ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15900-4,syagrus romanzoffianum ab.ige.rast class,deprecated queen palm ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15901-2,carica papaya ab.ige.rast class,deprecated papaya (carica papaya) ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15902-0,capsicum annuum ab.ige.rast class,deprecated paprika ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15903-8,parakeet feather ab.ige.rast class,deprecated parakeet feather ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15904-6,budgerigar droppings ab.ige.rast class,deprecated budgerigar droppings ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15905-3,budgerigar feather ab.ige.rast class,deprecated budgerigar feather ige ab rast class in serum
혈액,LFT,ALLERGY,15906-1,budgerigar serum proteins ab.ige.rast class,deprecated budgerigar serum proteins ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15907-9,parrot droppings ab.ige.rast class,deprecated parrot droppings ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15908-7,parrot feather ab.ige.rast class,deprecated parrot feather ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15909-5,parrot serum proteins ab.ige.rast class,deprecated parrot serum proteins ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15910-3,petroselinum crispum ab.ige.rast class,deprecated parsley ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15911-1,pastinaca sativa ab.ige.rast class,deprecated parsnip ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15912-9,passiflora edulis ab.ige.rast class,deprecated passion fruit ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15913-7,pisum sativum ab.ige.rast class,deprecated pea ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15914-5,vigna sinensis ab.ige.rast class,deprecated black-eye pea ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15915-2,cicer arietinus ab.ige.rast class,deprecated chick pea ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15916-0,prunus persica ab.ige.rast class,deprecated peach ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15917-8,arachis hypogaea ab.ige.rast class,deprecated peanut ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15918-6,pyrus communis ab.ige.rast class,deprecated pear ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15919-4,carya illinoinensis nut ab.ige.rast class,deprecated pecan or hickory nut ige ab rast class in serum
혈액,LFT,ALLERGY,15920-2,carya illinoinensis tree ab.ige.rast class,deprecated pecan or hickory tree ige ab rast class in serum
혈액,LFT,ALLERGY,15921-0,penicillin g ab.ige.rast class,deprecated penicillin g ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15922-8,penicillin v ab.ige.rast class,deprecated penicillin v ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15923-6,penicillium frequentans ab.ige.rast class,deprecated penicillium frequentans ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15924-4,penicillium notatum ab.ige.rast class,deprecated penicillium notatum ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15925-1,piper nigrum ab.ige.rast class,deprecated black pepper ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15926-9,pepper cayenne ab.ige.rast class,deprecated cayenne ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15927-7,capsicum frutescens ab.ige.rast class,deprecated chili pepper ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15928-5,pepper green ab.ige.rast class,deprecated green pepper ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15929-3,schinus molle ab.ige.rast class,deprecated pepper tree ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15930-1,perca spp ab.ige.rast class,deprecated perch ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15931-9,phoma betae ab.ige.rast class,deprecated phoma betae ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15932-7,phospholipase ab.ige.rast class,deprecated phospholipase ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15933-5,phthalic anhydride ab.ige.rast class,deprecated phthalic anhydride ige ab rast class [presence] in serum
혈액,LFT,ALLERGY,15934-3,pigeon droppings ab.ige.rast class,deprecated pigeon droppings ige ab rast class [presence] in serum
